# Anteil der Bevölkerung nach Altersjahren seit 2005 an der Bevölkerung insgesamt*) 
# https://wwwstatistik-bwde/BevoelkGebiet/Alter/01035810tab?R=LA
# Land Baden-Württemberg 
Im_Alter_von;2005_n;2005_perc;2010_n;2010_perc;2015_n;2015_perc;2019_n;2019_perc
 unter 1 Jahr;94424;0.9;90868;0.8;101417;0.9;108303;1.0
 1 Jahr;97531;0.9;90592;0.8;99912;0.9;110182;1.0
 2 Jahren;98547;0.9;93067;0.9;96971;0.9;110107;1.0
 3 Jahren ;100761;0.9;94108;0.9;95706;0.9;109920;1.0
 4 Jahren ;103275;1.0;93277;0.9;94410;0.9;106552;1.0
 5 Jahren ;108492;1.0;95374;0.9;97123;0.9;103981;0.9
 6 Jahren ;110529;1.0;97832;0.9;96126;0.9;100887;0.9
 7 Jahren ;113430;1.1;98381;0.9;98522;0.9;99521;0.9
 8 Jahren ;118012;1.1;100629;0.9;99123;0.9;97913;0.9
 9 Jahren ;116235;1.1;103341;1.0;97973;0.9;100791;0.9
 10 Jahren ;114392;1.1;108675;1.0;100143;0.9;99871;0.9
 11 Jahren ;115674;1.1;110591;1.0;102419;0.9;102458;0.9
 12 Jahren ;119999;1.1;113667;1.1;102907;0.9;102823;0.9
 13 Jahren ;121528;1.1;118377;1.1;104999;1.0;101527;0.9
 14 Jahren ;124304;1.2;116614;1.1;107522;1.0;103692;0.9
 15 Jahren ;128657;1.2;114999;1.1;113265;1.0;105739;1.0
 16 Jahren ;125005;1.2;116329;1.1;115527;1.1;106140;1.0
 17 Jahren ;128351;1.2;120798;1.1;119220;1.1;108375;1.0
 18 Jahren ;123681;1.2;123192;1.1;126665;1.2;112609;1.0
 19 Jahren ;125145;1.2;127582;1.2;127979;1.2;121907;1.1
 20 Jahren ;122249;1.1;133994;1.2;128729;1.2;127010;1.1
 21 Jahren ;124145;1.2;131108;1.2;131367;1.2;131602;1.2
 22 Jahren ;125975;1.2;135298;1.3;135895;1.2;138085;1.2
 23 Jahren ;131347;1.2;130639;1.2;137890;1.3;137969;1.2
 24 Jahren ;132772;1.2;131157;1.2;141956;1.3;137031;1.2
 25 Jahren ;135267;1.3;127411;1.2;149609;1.4;139159;1.3
 26 Jahren ;127906;1.2;128237;1.2;146200;1.3;143483;1.3
 27 Jahren ;125634;1.2;129909;1.2;149374;1.4;144906;1.3
 28 Jahren ;125899;1.2;133852;1.2;143883;1.3;148529;1.3
 29 Jahren ;127617;1.2;134201;1.2;143143;1.3;155140;1.4
 30 Jahren ;125227;1.2;135632;1.3;138310;1.3;151798;1.4
 31 Jahren ;128513;1.2;128338;1.2;137770;1.3;154599;1.4
 32 Jahren ;129333;1.2;125704;1.2;137194;1.3;148577;1.3
 33 Jahren ;141669;1.3;125810;1.2;140365;1.3;147540;1.3
 34 Jahren ;153446;1.4;127043;1.2;139652;1.3;142610;1.3
 35 Jahren ;160575;1.5;124662;1.2;140381;1.3;141938;1.3
 36 Jahren ;172662;1.6;128075;1.2;132219;1.2;140597;1.3
 37 Jahren ;182197;1.7;128599;1.2;129262;1.2;143812;1.3
 38 Jahren ;186194;1.7;141067;1.3;128783;1.2;142800;1.3
 39 Jahren ;190885;1.8;152996;1.4;129013;1.2;143651;1.3
 40 Jahren ;190352;1.8;159900;1.5;126748;1.2;135094;1.2
 41 Jahren ;193305;1.8;172109;1.6;129771;1.2;132060;1.2
 42 Jahren ;190899;1.8;181125;1.7;129280;1.2;131277;1.2
 43 Jahren ;185380;1.7;185192;1.7;140011;1.3;131733;1.2
 44 Jahren ;182378;1.7;189514;1.8;150908;1.4;129347;1.2
 45 Jahren ;177120;1.6;189153;1.8;156763;1.4;132301;1.2
 46 Jahren ;169322;1.6;192117;1.8;168329;1.5;131494;1.2
 47 Jahren ;161976;1.5;189486;1.8;176119;1.6;141772;1.3
 48 Jahren ;157455;1.5;183658;1.7;179934;1.7;152155;1.4
 49 Jahren ;154613;1.4;180546;1.7;184042;1.7;157959;1.4
 50 Jahren ;146673;1.4;175114;1.6;183231;1.7;168962;1.5
 51 Jahren ;142334;1.3;167359;1.6;186051;1.7;176161;1.6
 52 Jahren ;137085;1.3;159770;1.5;183675;1.7;179588;1.6
 53 Jahren ;137969;1.3;155134;1.4;177522;1.6;183113;1.6
 54 Jahren ;133928;1.2;151833;1.4;174144;1.6;181855;1.6
 55 Jahren ;135601;1.3;143715;1.3;168746;1.6;184138;1.7
 56 Jahren ;133060;1.2;139305;1.3;161653;1.5;181261;1.6
 57 Jahren ;124358;1.2;134037;1.2;153551;1.4;174879;1.6
 58 Jahren ;116300;1.1;134458;1.3;148997;1.4;171154;1.5
 59 Jahren ;102176;1.0;130147;1.2;144893;1.3;165549;1.5
 60 Jahren ;89221;0.8;131329;1.2;137030;1.3;158172;1.4
 61 Jahren ;114806;1.1;128390;1.2;132394;1.2;149751;1.3
 62 Jahren ;116103;1.1;119215;1.1;126733;1.2;144569;1.3
 63 Jahren ;114803;1.1;110907;1.0;126272;1.2;140217;1.3
 64 Jahren ;137086;1.3;96994;0.9;122094;1.1;131995;1.2
